Week Number,National Covid Death Percent Change,Michigan Covid Death Percent Change,National Cumulative Covid Deaths,Michigan Cumulative Covid Deaths,National People Not Home Percent Change,National People Home Percent Change,Michigan People Not Home Percent Change,Michigan People Home Percent Change,National Unemployment Claim Percent Change,Michigan Unemployment Claim Percent Change
1,-7.806122448979592,1000.0,7840,21,-5.10428766752157,14.069090499394147,-5.168959196226114,13.621641358432818,1057.075810697595,1057.075810697595
2,-12.050359712230216,194.37229437229436,15068,252,-1.7626982551429047,4.0419177045772265,-3.3539188403156555,7.376805712215276,105.26998493878227,105.26998493878227
3,-10.099103350637092,42.79411764705882,21425,932,0.15329655716704702,-0.33190207709435204,1.3415661914960157,-2.655838546383277,3.0011265864197436,3.0011265864197436
4,-12.615923009623797,0.30895983522142123,27140,1903,-3.2067109467664294,6.976642381067967,-4.410850707896794,9.090538843088584,-20.50605163708745,-20.50605163708745
5,-7.7292751301561875,-20.2258726899384,32134,2877,6.625980932047633,-13.043469108530173,8.189711049757936,-14.789631631143282,-13.808276133263725,-13.808276133263725
6,-7.790798611111111,-23.680823680823682,36742,3654,-0.5625988275073619,1.3580088155282717,0.07593058062829143,-0.17410009849750133,-17.844012965835347,-17.844012965835347
7,0.6589785831960462,-24.45193929173693,40991,4247,1.751528750922968,-4.147751529502261,2.1003963770477445,-4.828029996782524,-19.46266443038745,-19.46266443038745
8,-1.4963759644610708,-35.267857142857146,45268,4695,1.269436479169096,-3.191134240569699,0.3037587028492406,-0.7490586056962156,-16.705050935381607,-16.705050935381607
9,13.410871113220981,-20.689655172413794,49481,4985,5.73843462819045,-15.090054201495985,4.829271698120614,-12.035143726438182,-7.007425325534937,-7.007425325534937
10,7.30431142737547,-25.65217391304348,54259,5215,-1.6378579261066308,5.363495257849718,1.013734431988044,-3.0106981116564024,-12.054104395693278,-12.054104395693278
11,15.428125609518236,-31.57894736842105,59386,5386,-1.7114823737610667,5.232170812927238,-2.0974208878417633,6.487616876198245,-15.297144776126462,-15.297144776126462
12,17.21865495099696,-35.04273504273504,65304,5503,2.640401818783623,-7.539347515406434,2.5483525764647754,-7.246931321040289,-3.4231752413570598,-3.4231752413570598
13,25.284705203978664,-23.684210526315788,72241,5579,-1.1432131441912656,3.6237008473873997,0.17489852747148998,-0.5498967907071423,-6.388881036755693,-6.388881036755693
14,21.38994361983661,-18.96551724137931,80932,5637,-1.1564120888321068,3.496915540772981,-1.2051851432588003,3.816826988212979,-0.6845780185601282,-0.6845780185601282
15,25.27962085308057,-12.76595744680851,91482,5684,0.8555947107607265,-2.4709371883523508,2.0962940530123717,-6.317820866179673,-1.398149574985471,-1.398149574985471
16,16.947870167208897,2.4390243902439024,104699,5725,-0.6411993913916306,1.9149289271037657,-1.1511876295940855,3.7810656112224104,-2.5030590919858096,-2.5030590919858096
17,19.078734553923788,-16.666666666666664,120156,5767,-0.6563204843416575,1.910926802398465,-1.2280823351030508,3.8419252785739655,8.724332903481798,8.724332903481798
18,12.740410735629688,2.857142857142857,138562,5802,-2.6156754854272086,7.423888576636675,-2.8143993182236176,8.374673813568322,-9.210280129767696,-9.210280129767696
19,6.486434388704159,55.55555555555556,159313,5838,2.0964754398034717,-5.3941814231694005,2.5936076249585858,-6.92086818851414,-12.449471650601243,-12.449471650601243
20,4.462144182468208,-19.642857142857142,181410,5894,-1.3327193912860884,3.700559476790278,-2.3502839006430865,6.912650620223533,-18.173666988832863,-18.173666988832863
21,-97.50465710696183,31.11111111111111,204493,5939,1.906226039023449,-5.036109087802742,2.490359784682982,-6.690033065519589,-15.504381060806278,-15.504381060806278
22,452.77777777777777,-3.389830508474576,205069,5998,8.269317275035859e-07,-2.3444048124113353e-06,0.11410798802797045,-0.336695412974571,5.809797522048093,5.809797522048093
23,216.80276381909547,7.017543859649122,208253,6055,-1.0404425966802155,2.949721998712523,-1.0181350540134173,3.0177728092713494,-7.3794973537454025,-7.3794973537454025
24,61.23723604639635,-11.475409836065573,218340,6116,-1.5387830037563393,4.193463909104707,-1.842837593584131,5.2482158660599385,1.5493979541858418,1.5493979541858418
25,5.324643384161338,-25.925925925925924,234604,6170,0.044974383005428824,-0.11582050813300142,-0.7503215447367189,1.9928714986128866,3.7031843638223005,3.7031843638223005
26,-9.497956800934034,40.0,251734,6210,-0.022477082573509357,0.0579774037901728,-0.08662011315420003,0.22387722505560173,-8.398920148829228,-8.398920148829228
27,-14.893891504870025,-7.142857142857142,267237,6266,1.0203380325931364,-2.629744469910529,2.071019803946347,-5.33614805935971,3.8239238930981037,3.8239238930981037
28,-14.984083674397453,48.07692307692308,280431,6318,1.078322769078155,-2.88337254372895,1.272872425963501,-3.5362810972869445,-10.170463737847655,-10.170463737847655
29,-17.928144780244274,11.688311688311687,291648,6395,-1.9379925432696774,5.393473128855442,-3.0089799745693893,8.776277070525405,-1.2185637566310825,-1.2185637566310825
30,-21.551162285466,45.348837209302324,300854,6481,0.011410480118607982,-0.029546592285891734,0.6684392912105773,-1.7384024852023263,13.56720687421355,13.56720687421355
31,-14.760454167820548,31.2,308076,6606,0.7886859791252072,-2.0430805597098773,0.34595187190865023,-0.9217508867783151,-7.677404053733558,-7.677404053733558
32,-18.226120857699804,3.048780487804878,314232,6770,0.7917339099651881,-2.11026638802277,1.1698145959658077,-3.156722812823287,-3.497386971877837,-3.497386971877837
33,-16.090584028605484,68.04733727810651,319266,6939,-3.5272121678353434,9.68004528873733,-5.397813980140201,15.216641304260618,0.6784677277337676,0.6784677277337676
34,-9.232954545454545,37.67605633802817,323490,7223,-5.00645964017072,12.085196946227722,-4.973321137008801,11.511538066167718,-2.3147024486680055,-2.3147024486680055
35,-0.3390714658320292,45.26854219948849,327324,7614,4.883527006946385,-9.990849601073831,5.47359867452524,-10.79656359840848,-1.5276944944144624,-1.5276944944144624
36,18.503009683328973,16.19718309859155,331145,8182,-0.8509749142581908,2.028645706711827,-1.4770236946989808,3.44478591723113,16.72803083055879,16.72803083055879
37,27.274734982332156,17.12121212121212,335673,8842,0.10894932637189085,-0.2523947540567342,0.4974300102323734,-1.1049323157656605,-14.090465028939777,-14.090465028939777
38,24.39701544334548,6.0802069857697285,341436,9615,1.3790261766044194,-3.2062598015582124,1.684640476642805,-3.802692844985937,33.067150584187026,33.067150584187026
39,14.54875156925652,-5.0,348605,10435,-1.7394183707704804,4.235757574071262,-1.0392240679870406,2.4796229940564385,-1.9042719621913229,-1.9042719621913229
40,0.8889430102289333,-17.073170731707318,356817,11214,-0.5131049228255007,1.1778658442083205,-0.6929233760249459,1.5965673520966328,-7.983446653902399,-7.983446653902399
41,198.87748943874473,-25.541795665634677,365102,11860,-1.1520531377469259,2.600414149581383,-1.2048288497873036,2.71349204386772,-3.5938101596611807,-3.5938101596611807
42,-2.1969146272514335,-14.345114345114347,389864,12341,-0.3907633678386779,0.8497719524429135,-0.8187563250220175,1.7736424954529701,9.082676610972726,9.082676610972726
43,-8.481294904616401,-13.834951456310678,414082,12753,5.028789461130784,-10.801316540330816,7.543659326410548,-15.92530345471522,20.485638931238245,20.485638931238245
44,-13.54899837574445,-25.915492957746476,436246,13108,3.537641190103086,-8.946989702852663,2.0215652822397954,-5.458997823286394,-13.427868949363441,-13.427868949363441
45,-16.178696310213457,1.9011406844106464,455407,13371,-1.7456989652958694,5.020378582286415,-1.717696444264088,5.005452541354149,-10.306909218158715,-10.306909218158715
46,-21.11325571259573,-35.07462686567165,471468,13639,-0.18743450153300178,0.504306586368215,-0.2104528324793813,0.5740043487550933,1.0639879624838677,1.0639879624838677
47,-20.149960536700867,-17.24137931034483,484138,13813,0.7026473396864485,-1.8775134541742777,2.205105335303511,-5.967453690658045,2.165950685576414,2.165950685576414
48,-20.57922308984877,-21.52777777777778,494255,13957,-0.27887862806634256,0.7647741980485318,1.3362991036467284,-3.9305903909613575,-3.8025327946565475,-3.8025327946565475
49,-22.4019912881145,-15.929203539823009,502290,14070,3.2685763249641604,-8.870641791683354,1.0799570922129826,-3.3507384520416608,-14.189175433659265,-14.189175433659265
50,-16.872493985565356,-7.368421052631578,508525,14165,-0.11449455035508196,0.35212033430747375,-0.20163311436852205,0.6542781176732381,5.592002891597202,5.592002891597202
51,-17.19081612965464,25.0,513708,14253,1.580752404622411,-3.508108160376951,0.8926919355196159,-3.254218180959035,-4.5529579225750005,-4.5529579225750005
